,DT,SALE_SUM_AMT
185,2015-01-01 00:00:00,1676516927.0
67,2015-01-08 00:00:00,6922812899.0
106,2015-01-15 00:00:00,5840964106.0
223,2015-01-22 00:00:00,8046579841.0
35,2015-01-29 00:00:00,18566530993.0
149,2015-02-05 00:00:00,5534518855.0
191,2015-02-12 00:00:00,6534783322.0
58,2015-02-19 00:00:00,1261262160.0
115,2015-02-26 00:00:00,20397619247.0
302,2015-03-05 00:00:00,6296677663.0
36,2015-03-12 00:00:00,6764934731.0
150,2015-03-19 00:00:00,6646495825.0
260,2015-03-26 00:00:00,12531446419.0
68,2015-04-02 00:00:00,17621398837.0
186,2015-04-09 00:00:00,5474162097.0
297,2015-04-16 00:00:00,6306322702.0
5,2015-04-23 00:00:00,7949599507.0
200,2015-04-30 00:00:00,19927042511.0
236,2015-05-07 00:00:00,4805362313.0
117,2015-05-14 00:00:00,5940265511.0
164,2015-05-21 00:00:00,5356748998.0
273,2015-05-28 00:00:00,11418732761.0
80,2015-06-04 00:00:00,6972537820.0
201,2015-06-11 00:00:00,5593179376.0
12,2015-06-18 00:00:00,5602653983.0
127,2015-06-25 00:00:00,7965366053.0
171,2015-07-02 00:00:00,10282232643.0
53,2015-07-09 00:00:00,4346916541.0
91,2015-07-16 00:00:00,5276510127.0
279,2015-07-23 00:00:00,6729887401.0
22,2015-07-30 00:00:00,17057773837.0
137,2015-08-06 00:00:00,4094326327.0
282,2015-08-13 00:00:00,5342162746.0
20,2015-08-20 00:00:00,6051979809.0
209,2015-08-27 00:00:00,7565616859.0
244,2015-09-03 00:00:00,8071072483.0
52,2015-09-10 00:00:00,7019518457.0
166,2015-09-17 00:00:00,4982717097.0
276,2015-09-24 00:00:00,10699785568.0
89,2015-10-01 00:00:00,7004575311.0
198,2015-10-08 00:00:00,4421608716.45
235,2015-10-15 00:00:00,5841838412.0
119,2015-10-22 00:00:00,6316621920.0
155,2015-10-29 00:00:00,15703453994.0
47,2015-11-05 00:00:00,4922097883.0
85,2015-11-12 00:00:00,5624610887.0
199,2015-11-19 00:00:00,8251568967.0
6,2015-11-26 00:00:00,10689513693.0
146,2015-12-03 00:00:00,11893770222.0
256,2015-12-10 00:00:00,6903114313.0
71,2015-12-17 00:00:00,9591899423.0
107,2015-12-24 00:00:00,7732679910.0
59,2016-01-01 00:00:00,12956048693.0
60,2016-01-01 00:00:00,12956048693.0
177,2016-01-08 00:00:00,6500464912.0
287,2016-01-15 00:00:00,7089726879.0
92,2016-01-22 00:00:00,9723726409.0
207,2016-01-29 00:00:00,11956582587.0
242,2016-02-05 00:00:00,9919712310.0
128,2016-02-12 00:00:00,3631282842.0
167,2016-02-19 00:00:00,8883100989.0
44,2016-02-26 00:00:00,11576156492.0
81,2016-03-04 00:00:00,14689427838.0
203,2016-03-11 00:00:00,8823193660.0
9,2016-03-18 00:00:00,7062842488.0
118,2016-03-25 00:00:00,8025288964.0
232,2016-04-01 00:00:00,18340921114.0
45,2016-04-08 00:00:00,5715671401.0
82,2016-04-15 00:00:00,4971079134.0
299,2016-04-22 00:00:00,8083177371.0
33,2016-04-29 00:00:00,19913132252.0
221,2016-05-06 00:00:00,3250162683.0
258,2016-05-13 00:00:00,5340611548.0
75,2016-05-20 00:00:00,5619256077.0
188,2016-05-27 00:00:00,7991149905.0
304,2016-06-03 00:00:00,13253635930.0
116,2016-06-10 00:00:00,4376058978.0
214,2016-06-17 00:00:00,6125983856.0
250,2016-06-24 00:00:00,9404244901.0
151,2016-07-01 00:00:00,18070503809.0
189,2016-07-08 00:00:00,5289738688.0
72,2016-07-15 00:00:00,5465388622.0
108,2016-07-22 00:00:00,7081838282.0
222,2016-07-29 00:00:00,14702551660.0
32,2016-08-05 00:00:00,5721758196.0
83,2016-08-12 00:00:00,6009316059.0
269,2016-08-19 00:00:00,4857678014.0
7,2016-08-26 00:00:00,7469888774.0
125,2016-09-02 00:00:00,14127685701.0
230,2016-09-09 00:00:00,5474774723.0
48,2016-09-16 00:00:00,1351578868.0
160,2016-09-23 00:00:00,9193570658.0
270,2016-09-30 00:00:00,16912304948.0
13,2016-10-07 00:00:00,4865989836.0
208,2016-10-14 00:00:00,6635603532.0
239,2016-10-21 00:00:00,6851549024.0
131,2016-10-28 00:00:00,10836235906.0
174,2016-11-04 00:00:00,16306888191.0
278,2016-11-11 00:00:00,7329222578.0
93,2016-11-18 00:00:00,7502647498.0
213,2016-11-25 00:00:00,10136890674.0
