"YY","WK","SALE_SUM_CNT","SALE_SUM_QTY","SALE_SUM_AMT","SALE_SUM_AVG","INCOME_CSI","CONSUME_CSI","P_CONSUME_CSI","CONSUME_INDEX","IT_EMP","FIN_EMP","HARDWARE_PRC","G_MOUSE","G_CPU","G_LABTOP","G_TABLET","REBT_AMT","DT"
"2018",46,20674,111514,12301030361.00,110309.291757,98.066666,109.6,95.53333400000001,97.62,864.6866660000002,847.54,148.38400000000001,34.56666666666667,25.56666666666667,59.733333333333334,9.0,1418433893.94,2018-11-12 00:00:00
"2019",39,16222,222032,17953854448.00,80861.562513,96.51612999999999,105.83870999999999,93.67742,96.258066,847.148388,807.341936,159.784,36.8,25.0,66.0,11.4,1431060377.81,2019-09-24 00:00:00
"2017",5,16246,103858,11865670189.00,114248.976381,97.957144,103.99375,90.0,92.357054,779.522948,798.19902,129.87,32.883475971033555,24.09183673469389,60.85286372613562,12.024687294272542,419003914.03,2017-01-29 00:00:00
"2019",16,14662,130367,11941500270.00,91599.103070,98.59375,110.0,95.0,100.928128,861.5218779999999,792.728128,162.954,32.0,25.0,59.46666666666666,11.0,1553525693.30,2019-04-16 00:00:00
"2018",23,11692,66263,8484336099.00,128040.325656,101.0,107.793104,95.0,107.662068,833.9206899999999,840.12069,185.0725,32.33333333333333,23.0,53.0,9.833333333333332,790296814.30,2018-06-04 00:00:00
"2015",17,12267,169150,7949599507.00,46997.336724,100.466666,106.0,92.0,102.953334,770.546666,793.493334,145.686,25.700000000000006,17.9,36.199999999999996,10.6,676263631.75,2015-04-23 00:00:00
"2015",48,15242,155655,10689513693.00,68674.399749,101.83871,109.67742000000001,95.67742,105.470968,785.929034,801.46129,142.404,26.2,19.8,45.60000000000001,10.8,765053000.81,2015-11-26 00:00:00
"2016",35,11775,90973,7469888774.00,82111.052444,100.0,106.0,93.78788,101.209092,801.748486,810.05758,140.22,27.0,19.0,45.0,8.741935483870968,376698704.69,2016-08-26 00:00:00
"2017",28,13698,79144,10274480196.00,129820.077276,103.0,108.612904,96.38709800000001,111.23871,780.1193559999999,783.7096779999999,157.238,28.0,21.290322580645157,50.41935483870967,9.0,510838183.80,2017-07-09 00:00:00
"2016",12,13771,86368,7062842488.00,81776.149592,98.51612999999999,105.0,92.51612999999999,98.38709600000001,754.445162,785.209678,133.834,26.483870967741947,19.58064516129033,44.67741935483872,10.0,512515061.24,2016-03-18 00:00:00
"2018",40,15362,149322,13615353453.00,91181.161871,100.69697,111.0,96.0,99.978788,855.718184,852.0878799999998,171.28750000000002,31.286021505376358,25.073886328725028,53.3694316436252,8.07388632872504,1217101088.33,2018-10-01 00:00:00
"2019",33,11546,95289,7125598853.00,74778.818677,95.066666,106.06666599999998,92.0,94.26666599999999,853.213334,796.92,146.92249999999999,37.67741935483872,23.838709677419356,69.93548387096772,11.838709677419358,823571560.42,2019-08-13 00:00:00
"2015",25,13531,66139,5602653983.00,84710.291703,99.21875,105.8125,92.8125,100.665628,778.48125,800.7625,131.344,26.6,18.533333333333328,38.533333333333324,10.466666666666672,811653050.81,2015-06-18 00:00:00
"2016",41,11408,60025,4865989836.00,81066.053077,100.16129000000001,107.0,94.16129000000001,101.348388,789.796774,813.396774,131.51250000000002,29.0,19.258064516129043,49.25806451612904,10.258064516129028,450581860.47,2016-10-07 00:00:00
"2017",22,15516,172285,14407062855.00,83623.431262,101.965454,106.06000000000002,95.945454,107.835092,783.6838180000001,777.832182,146.04000000000002,26.120737327188944,20.9221198156682,44.964976958525334,8.060368663594472,661479942.50,2017-05-28 00:00:00
"2020",3,19949,244037,17593240612.00,72092.513069,99.45161399999999,109.48387199999999,95.0,102.29032199999999,851.0225800000001,790.71613,180.80599999999998,41.354838709677416,30.451612903225815,83.25806451612902,13.0,1454675793.97,2020-01-15 00:00:00
"2020",11,20373,185443,14952358356.00,80630.481366,93.25,101.125,90.0,89.962502,847.8875020000002,781.037502,152.51000000000002,46.3225806451613,33.3225806451613,100.0,14.967741935483872,1414001224.58,2020-03-11 00:00:00
"2016",52,13040,96886,9865316008.00,101823.958136,98.0,103.9,90.3,93.71000000000001,802.68,809.82,123.31000000000002,29.580645161290327,23.290322580645153,55.451612903225794,14.0,611719029.32,2016-12-23 00:00:00
"2019",47,18653,187886,17065640130.00,90829.759162,98.37931200000001,108.68965599999999,95.0,100.255172,856.9172419999999,805.379312,163.43400000000003,38.0,26.0,70.0,11.36666666666667,1416638880.79,2019-11-19 00:00:00
"2017",13,16086,183771,15399033492.00,83794.687366,97.935484,104.0,91.87096799999999,95.838712,792.696774,790.72258,137.99200000000002,30.096774193548384,23.387096774193555,48.064516129032256,10.096774193548384,433244300.18,2017-03-26 00:00:00
"2015",34,13190,117319,6051979809.00,51585.675031,100.0,105.612904,92.225806,100.59677400000001,783.8258060000001,794.89355,123.566,24.580645161290313,19.0,41.0,11.0,515765002.41,2015-08-20 00:00:00
"2018",29,13479,115892,9733437491.00,83987.138810,99.8125,105.8125,93.8125,102.809378,834.3875,850.5875,181.69199999999998,34.548387096774185,24.645161290322587,58.0,9.0,820628972.03,2018-07-16 00:00:00
"2015",31,15521,190564,17057773837.00,89512.047590,99.87096799999999,105.0,91.064516,99.664516,786.1354840000001,793.519356,130.73999999999998,24.387096774193555,19.0,40.80645161290322,10.903225806451616,617568433.53,2015-07-30 00:00:00
"2019",4,18530,164597,15102145138.00,91752.250271,98.258066,109.0,94.741936,97.345162,882.4,816.71613,144.882,37.5483870967742,26.580645161290327,75.54838709677419,11.0,1547567696.85,2019-01-22 00:00:00
